checkpoint,temperature,top_p,chrf
5-3e-05-sonnet.pt,10,0.1,39.5350
5-3e-05-sonnet.pt,1.2,0.5,41.7796
5-3e-05-sonnet.pt,0.6,0.5,34.3359
5-3e-05-sonnet.pt,0.8,0.5,34.8821
5-3e-05-sonnet.pt,0.9,0.5,38.8198
5-3e-05-sonnet.pt,1,0.5,39.1832
5-3e-05-sonnet.pt,1.1,0.5,41.2584
5-3e-05-sonnet.pt,1.4,0.5,41.2428
5-3e-05-sonnet.pt,0.1,0.5,32.8946
5-3e-05-sonnet.pt,10,0.5,37.0877
5-0.001-sonnet.pt,1.2,0.9,41.1099
5-0.001-sonnet.pt,0.6,0.9,40.0087
5-0.001-sonnet.pt,0.8,0.9,40.4573
5-0.001-sonnet.pt,0.9,0.9,40.2734
5-0.001-sonnet.pt,1,0.9,40.3359
5-0.001-sonnet.pt,1.1,0.9,41.3089
5-0.001-sonnet.pt,1.4,0.9,41.3203
5-0.001-sonnet.pt,0.1,0.9,38.8102
5-0.001-sonnet.pt,10,0.9,37.1366
5-0.001-sonnet.pt,1.2,0.85,41.5534
5-0.001-sonnet.pt,0.6,0.85,38.4865
5-0.001-sonnet.pt,0.8,0.85,39.2601
5-0.001-sonnet.pt,0.9,0.85,40.2290
5-0.001-sonnet.pt,1,0.85,41.1516
5-0.001-sonnet.pt,1.1,0.85,41.0079
5-0.001-sonnet.pt,1.4,0.85,40.7869
5-0.001-sonnet.pt,0.1,0.85,38.9268
5-0.001-sonnet.pt,10,0.85,36.8863
5-0.001-sonnet.pt,1.2,0.95,41.0459
5-0.001-sonnet.pt,0.6,0.95,40.0107
5-0.001-sonnet.pt,0.8,0.95,40.8079
5-0.001-sonnet.pt,0.9,0.95,41.1540
5-0.001-sonnet.pt,1,0.95,40.9186
5-0.001-sonnet.pt,1.1,0.95,41.3478
5-0.001-sonnet.pt,1.4,0.95,41.3627
5-0.001-sonnet.pt,0.1,0.95,38.3094
5-0.001-sonnet.pt,10,0.95,37.3075
5-0.001-sonnet.pt,1.2,1,41.5517
5-0.001-sonnet.pt,0.6,1,39.6470
5-0.001-sonnet.pt,0.8,1,40.6381
5-0.001-sonnet.pt,0.9,1,40.9412
5-0.001-sonnet.pt,1,1,39.9231
5-0.001-sonnet.pt,1.1,1,41.4672
5-0.001-sonnet.pt,1.4,1,41.5430
5-0.001-sonnet.pt,0.1,1,38.7491
5-0.001-sonnet.pt,10,1,36.8115
5-0.001-sonnet.pt,1.2,0.01,38.8783
5-0.001-sonnet.pt,0.6,0.01,38.8783
5-0.001-sonnet.pt,0.8,0.01,38.8783
5-0.001-sonnet.pt,0.9,0.01,38.8783
5-0.001-sonnet.pt,1,0.01,38.8783
5-0.001-sonnet.pt,1.1,0.01,38.8783
5-0.001-sonnet.pt,1.4,0.01,38.8783
5-0.001-sonnet.pt,0.1,0.01,38.8783
5-0.001-sonnet.pt,10,0.01,38.9780
5-0.001-sonnet.pt,1.2,0.1,38.3453
5-0.001-sonnet.pt,0.6,0.1,38.8783
5-0.001-sonnet.pt,0.8,0.1,38.8783
5-0.001-sonnet.pt,0.9,0.1,38.8783
5-0.001-sonnet.pt,1,0.1,38.8783
5-0.001-sonnet.pt,1.1,0.1,38.2092
5-0.001-sonnet.pt,1.4,0.1,37.6332
5-0.001-sonnet.pt,0.1,0.1,38.8783
5-0.001-sonnet.pt,10,0.1,38.7306
5-0.001-sonnet.pt,1.2,0.5,39.7554
5-0.001-sonnet.pt,0.6,0.5,39.0586
5-0.001-sonnet.pt,0.8,0.5,37.8671
5-0.001-sonnet.pt,0.9,0.5,39.1784
5-0.001-sonnet.pt,1,0.5,39.5067
5-0.001-sonnet.pt,1.1,0.5,39.9848
5-0.001-sonnet.pt,1.4,0.5,41.4580
5-0.001-sonnet.pt,0.1,0.5,38.5559
5-0.001-sonnet.pt,10,0.5,37.3626
5-0.001-sonnet.pt,2,0.9,39.8409
5-0.0001-sonnet.pt,1.2,0.9,41.9994
5-0.0001-sonnet.pt,0.6,0.9,37.6209
5-0.0001-sonnet.pt,0.8,0.9,41.0079
5-0.0001-sonnet.pt,0.9,0.9,40.5912
5-0.0001-sonnet.pt,1,0.9,41.3379
5-0.0001-sonnet.pt,1.1,0.9,42.1313
5-0.0001-sonnet.pt,1.4,0.9,40.8840
5-0.0001-sonnet.pt,2,0.9,38.3904
5-0.0001-sonnet.pt,0.1,0.9,35.8493
5-0.0001-sonnet.pt,10,0.9,36.8233
5-0.0001-sonnet.pt,1.2,0.85,41.9046
5-0.0001-sonnet.pt,0.6,0.85,37.3471
5-0.0001-sonnet.pt,0.8,0.85,40.7099
5-0.0001-sonnet.pt,0.9,0.85,40.4616
5-0.0001-sonnet.pt,1,0.85,41.8639
5-0.0001-sonnet.pt,1.1,0.85,42.6987
5-0.0001-sonnet.pt,1.4,0.85,41.9187
5-0.0001-sonnet.pt,2,0.85,40.1475
5-0.0001-sonnet.pt,0.1,0.85,34.1868
5-0.0001-sonnet.pt,10,0.85,37.4332
5-0.0001-sonnet.pt,1.2,0.95,42.4282
5-0.0001-sonnet.pt,0.6,0.95,38.6891
5-0.0001-sonnet.pt,0.8,0.95,40.3331
5-0.0001-sonnet.pt,0.9,0.95,42.8543
5-0.0001-sonnet.pt,1,0.95,42.7185
5-0.0001-sonnet.pt,1.1,0.95,42.1660
5-0.0001-sonnet.pt,1.4,0.95,41.7083
5-0.0001-sonnet.pt,2,0.95,39.3668
5-0.0001-sonnet.pt,0.1,0.95,35.9103
5-0.0001-sonnet.pt,10,0.95,36.7563
5-0.0001-sonnet.pt,1.2,1,41.5856
5-0.0001-sonnet.pt,0.6,1,40.2049
5-0.0001-sonnet.pt,0.8,1,41.9721
5-0.0001-sonnet.pt,0.9,1,42.1014
5-0.0001-sonnet.pt,1,1,41.7909
5-0.0001-sonnet.pt,1.1,1,41.2428
5-0.0001-sonnet.pt,1.4,1,40.8524
5-0.0001-sonnet.pt,2,1,32.3003
5-0.0001-sonnet.pt,0.1,1,34.2953
5-0.0001-sonnet.pt,10,1,36.9163
5-0.0001-sonnet.pt,1.2,0.01,34.9327
5-0.0001-sonnet.pt,0.6,0.01,34.9327
5-0.0001-sonnet.pt,0.8,0.01,34.9327
5-0.0001-sonnet.pt,0.9,0.01,34.9327
5-0.0001-sonnet.pt,1,0.01,34.9327
5-0.0001-sonnet.pt,1.1,0.01,34.9327
5-0.0001-sonnet.pt,1.4,0.01,34.9327
5-0.0001-sonnet.pt,2,0.01,34.7858
5-0.001-sonnet.pt,2,0.85,40.8669
5-0.001-sonnet.pt,2,0.95,40.3294
5-0.001-sonnet.pt,2,1,39.7883
5-0.001-sonnet.pt,2,0.01,38.8783
5-0.001-sonnet.pt,2,0.1,39.9793
5-0.001-sonnet.pt,2,0.5,40.3849
5-0.003-sonnet.pt,1.2,0.9,40.9731
5-0.003-sonnet.pt,0.6,0.9,39.7476
5-0.003-sonnet.pt,0.8,0.9,40.5896
5-0.003-sonnet.pt,0.9,0.9,41.4653
5-0.003-sonnet.pt,1,0.9,41.1345
5-0.003-sonnet.pt,1.1,0.9,40.8204
5-0.003-sonnet.pt,1.4,0.9,40.0742
5-0.003-sonnet.pt,2,0.9,38.7235
5-0.003-sonnet.pt,0.1,0.9,35.7610
5-0.003-sonnet.pt,10,0.9,37.0509
5-0.003-sonnet.pt,1.2,0.85,41.7258
5-0.003-sonnet.pt,0.6,0.85,40.1958
5-0.003-sonnet.pt,0.8,0.85,40.8216
5-0.003-sonnet.pt,0.9,0.85,41.1066
5-0.003-sonnet.pt,1,0.85,41.0635
5-0.003-sonnet.pt,1.1,0.85,41.1580
5-0.003-sonnet.pt,1.4,0.85,40.9335
5-0.003-sonnet.pt,2,0.85,39.3178
5-0.003-sonnet.pt,0.1,0.85,35.7971
5-0.003-sonnet.pt,10,0.85,37.0357
5-0.003-sonnet.pt,1.2,0.95,41.1199
5-0.003-sonnet.pt,0.6,0.95,40.4156
5-0.003-sonnet.pt,0.8,0.95,41.3934
5-0.003-sonnet.pt,0.9,0.95,40.4562
5-0.003-sonnet.pt,1,0.95,41.1951
5-0.003-sonnet.pt,1.1,0.95,41.2804
5-0.003-sonnet.pt,1.4,0.95,40.7660
5-0.003-sonnet.pt,2,0.95,38.7261
5-0.003-sonnet.pt,0.1,0.95,36.1170
5-0.003-sonnet.pt,10,0.95,37.1344
5-0.003-sonnet.pt,1.2,1,41.2475
5-0.003-sonnet.pt,0.6,1,40.8239
5-0.003-sonnet.pt,0.8,1,40.9576
5-0.003-sonnet.pt,0.9,1,40.4918
5-0.003-sonnet.pt,1,1,40.8382
5-0.003-sonnet.pt,1.1,1,41.0158
5-0.003-sonnet.pt,1.4,1,41.2983
5-0.003-sonnet.pt,2,1,39.0087
5-0.003-sonnet.pt,0.1,1,35.5591
5-0.003-sonnet.pt,10,1,36.8417
5-0.003-sonnet.pt,1.2,0.01,35.2456
5-0.003-sonnet.pt,0.6,0.01,35.2456
5-0.003-sonnet.pt,0.8,0.01,35.2456
5-0.003-sonnet.pt,0.9,0.01,35.2456
5-0.003-sonnet.pt,1,0.01,35.2456
5-0.003-sonnet.pt,1.1,0.01,35.2456
5-0.003-sonnet.pt,1.4,0.01,35.2119
5-0.003-sonnet.pt,2,0.01,37.7803
5-0.003-sonnet.pt,0.1,0.01,35.2456
5-0.003-sonnet.pt,10,0.01,38.6613
5-0.003-sonnet.pt,1.2,0.1,39.1201
5-0.003-sonnet.pt,0.6,0.1,35.2731
5-0.003-sonnet.pt,0.8,0.1,36.3878
5-0.003-sonnet.pt,0.9,0.1,35.9523
5-0.003-sonnet.pt,1,0.1,37.4958
5-0.003-sonnet.pt,1.1,0.1,38.0070
5-0.003-sonnet.pt,1.4,0.1,39.6725
5-0.003-sonnet.pt,2,0.1,40.8925
5-0.003-sonnet.pt,0.1,0.1,35.2456
5-0.003-sonnet.pt,10,0.1,39.4859
5-0.003-sonnet.pt,1.2,0.5,39.4254
5-0.003-sonnet.pt,0.6,0.5,38.7362
5-0.003-sonnet.pt,0.8,0.5,39.4801
5-0.003-sonnet.pt,0.9,0.5,40.3573
5-0.003-sonnet.pt,1,0.5,40.9903
5-0.003-sonnet.pt,1.1,0.5,40.6401
5-0.003-sonnet.pt,1.4,0.5,41.8054
5-0.003-sonnet.pt,2,0.5,38.7159
5-0.003-sonnet.pt,0.1,0.5,35.5413
5-0.003-sonnet.pt,10,0.5,37.3483
5-0.0003-sonnet.pt,1.2,0.9,41.2288
5-3e-06-sonnet.pt,1.2,0.9,37.4895
