checkpoint,temperature,top_p,seed,chrf,seconds
10-0.001-sonnet.pt,1.1,0.85,0,41.3030,20.4
10-0.001-sonnet.pt,1.1,0.95,0,41.7444,21.3
10-0.001-sonnet.pt,1.1,1,0,41.0970,20.2
10-0.001-sonnet.pt,0.9,0.95,0,41.3196,21.6
10-0.001-sonnet.pt,1.2,0.85,0,41.2406,21.3
10-0.001-sonnet.pt,0.6,0.9,0,40.6508,20.9
10-0.001-sonnet.pt,2,0.9,0,41.1765,21.0
10-0.001-sonnet.pt,1,0.5,0,40.2868,20.6
10-0.0003-sonnet.pt,0.9,0.9,0,40.8340,25.6
10-0.0003-sonnet.pt,1,0.9,0,41.4335,20.1
10-0.0003-sonnet.pt,1.1,0.9,0,41.2874,20.0
10-0.0003-sonnet.pt,1.2,0.9,0,41.1917,19.8
10-0.0003-sonnet.pt,1.4,0.9,0,41.0583,20.7
10-0.0003-sonnet.pt,1.1,0.85,0,41.1879,19.7
10-0.0003-sonnet.pt,1.1,0.95,0,41.2252,20.9
10-0.0003-sonnet.pt,1.1,1,0,41.3209,20.2
10-0.0003-sonnet.pt,0.9,0.95,0,41.3918,20.2
10-0.0003-sonnet.pt,1.2,0.85,0,40.6028,19.9
10-0.0003-sonnet.pt,0.6,0.9,0,41.7554,19.8
10-0.0003-sonnet.pt,2,0.9,0,41.7456,21.0
10-0.0003-sonnet.pt,1,0.5,0,40.8901,20.5
10-0.0001-sonnet.pt,0.9,0.9,0,41.7854,25.3
10-0.0001-sonnet.pt,1,0.9,0,41.6710,20.1
10-0.0001-sonnet.pt,1.1,0.9,0,41.4582,20.1
10-0.0001-sonnet.pt,1.2,0.9,0,41.5381,21.1
10-0.0001-sonnet.pt,1.4,0.9,0,41.7581,20.6
10-0.0001-sonnet.pt,1.1,0.85,0,41.2410,19.6
10-0.0001-sonnet.pt,1.1,0.95,0,42.2975,20.6
10-0.0001-sonnet.pt,1.1,1,0,41.8504,20.2
10-0.0001-sonnet.pt,0.9,0.95,0,41.9468,20.8
10-0.0001-sonnet.pt,1.2,0.85,0,41.4183,20.2
10-0.0001-sonnet.pt,0.6,0.9,0,39.6647,19.6
10-0.0001-sonnet.pt,2,0.9,0,41.0914,20.3
10-0.0001-sonnet.pt,1,0.5,0,41.1224,19.4
5-0.003-sonnet.pt,0.9,0.9,1,41.0627,24.6
5-0.003-sonnet.pt,1,0.9,1,41.0844,19.9
5-0.003-sonnet.pt,1.1,0.9,1,41.1803,20.5
5-0.003-sonnet.pt,1.2,0.9,1,41.5660,20.2
5-0.003-sonnet.pt,1.4,0.9,1,40.1802,18.4
5-0.003-sonnet.pt,1.1,0.85,1,41.7940,20.2
5-0.003-sonnet.pt,1.1,0.95,1,41.7763,20.4
5-0.003-sonnet.pt,1.1,1,1,41.1173,19.7
5-0.003-sonnet.pt,0.9,0.95,1,41.6670,20.5
5-0.003-sonnet.pt,1.2,0.85,1,40.2429,18.4
5-0.003-sonnet.pt,0.6,0.9,1,39.8667,19.9
5-0.003-sonnet.pt,2,0.9,1,38.0583,18.7
5-0.003-sonnet.pt,1,0.5,1,40.4834,20.8
5-0.001-sonnet.pt,0.9,0.9,1,40.7817,25.9
5-0.001-sonnet.pt,1,0.9,1,41.0307,21.0
5-0.001-sonnet.pt,1.1,0.9,1,41.1861,21.4
5-0.001-sonnet.pt,1.2,0.9,1,41.3650,21.5
5-0.001-sonnet.pt,1.4,0.9,1,41.4588,20.9
5-0.001-sonnet.pt,1.1,0.85,1,40.3592,20.7
5-0.001-sonnet.pt,1.1,0.95,1,41.3493,21.1
5-0.001-sonnet.pt,1.1,1,1,40.2934,19.9
5-0.001-sonnet.pt,0.9,0.95,1,40.3153,21.0
5-0.001-sonnet.pt,1.2,0.85,1,41.4054,21.5
5-0.001-sonnet.pt,0.6,0.9,1,39.4791,20.7
5-0.001-sonnet.pt,2,0.9,1,40.3905,20.3
5-0.001-sonnet.pt,1,0.5,1,40.6017,21.2
5-0.0003-sonnet.pt,0.9,0.9,1,40.2432,25.7
5-0.0003-sonnet.pt,1,0.9,1,41.0917,21.2
5-0.0003-sonnet.pt,1.1,0.9,1,41.7929,21.1
5-0.0003-sonnet.pt,1.2,0.9,1,41.4849,21.0
5-0.0003-sonnet.pt,1.4,0.9,1,41.3815,20.9
5-0.0003-sonnet.pt,1.1,0.85,1,41.8282,21.2
5-0.0003-sonnet.pt,1.1,0.95,1,41.5522,21.4
5-0.0003-sonnet.pt,1.1,1,1,41.3747,21.6
5-0.0003-sonnet.pt,0.9,0.95,1,41.0964,20.1
5-0.0003-sonnet.pt,1.2,0.85,1,41.4676,20.3
5-0.0003-sonnet.pt,0.6,0.9,1,39.8422,21.1
5-0.0003-sonnet.pt,2,0.9,1,40.7129,20.0
5-0.0003-sonnet.pt,1,0.5,1,39.4074,21.0
5-0.0001-sonnet.pt,0.9,0.9,1,41.7420,25.3
5-0.0001-sonnet.pt,1,0.9,1,41.7157,19.3
5-0.0001-sonnet.pt,1.1,0.9,1,41.5436,21.0
5-0.0001-sonnet.pt,1.2,0.9,1,41.6538,20.7
5-0.0001-sonnet.pt,1.4,0.9,1,42.1904,21.1
5-0.0001-sonnet.pt,1.1,0.85,1,41.5588,21.0
5-0.0001-sonnet.pt,1.1,0.95,1,42.2839,20.8
5-0.0001-sonnet.pt,1.1,1,1,41.6739,20.7
5-0.0001-sonnet.pt,0.9,0.95,1,41.1914,19.9
5-0.0001-sonnet.pt,1.2,0.85,1,42.2103,19.2
5-0.0001-sonnet.pt,0.6,0.9,1,39.0028,18.8
5-0.0001-sonnet.pt,2,0.9,1,40.0277,21.2
5-0.0001-sonnet.pt,1,0.5,1,39.0789,20.5
5-3e-05-sonnet.pt,0.9,0.9,1,40.9249,24.5
5-3e-05-sonnet.pt,1,0.9,1,41.9140,20.8
5-3e-05-sonnet.pt,1.1,0.9,1,41.9564,21.1
5-3e-05-sonnet.pt,1.2,0.9,1,42.3349,20.9
5-3e-05-sonnet.pt,1.4,0.9,1,41.3993,20.4
5-3e-05-sonnet.pt,1.1,0.85,1,42.2276,21.2
5-3e-05-sonnet.pt,1.1,0.95,1,42.2103,20.3
5-3e-05-sonnet.pt,1.1,1,1,41.6757,21.5
5-3e-05-sonnet.pt,0.9,0.95,1,41.3933,21.0
5-3e-05-sonnet.pt,1.2,0.85,1,41.7469,20.7
5-3e-05-sonnet.pt,0.6,0.9,1,37.6287,17.6
5-3e-05-sonnet.pt,2,0.9,1,39.1022,20.8
5-3e-05-sonnet.pt,1,0.5,1,38.2820,17.4
5-1e-05-sonnet.pt,0.9,0.9,1,40.4768,24.2
5-1e-05-sonnet.pt,1,0.9,1,41.5739,19.8
5-1e-05-sonnet.pt,1.1,0.9,1,41.5617,19.8
5-1e-05-sonnet.pt,1.2,0.9,1,41.9200,20.4
5-1e-05-sonnet.pt,1.4,0.9,1,38.7368,17.3
5-1e-05-sonnet.pt,1.1,0.85,1,40.6301,18.3
5-1e-05-sonnet.pt,1.1,0.95,1,41.7006,19.9
5-1e-05-sonnet.pt,1.1,1,1,41.9196,21.6
5-1e-05-sonnet.pt,0.9,0.95,1,41.0607,20.6
5-1e-05-sonnet.pt,1.2,0.85,1,40.8226,19.8
5-1e-05-sonnet.pt,0.6,0.9,1,36.8941,18.9
5-1e-05-sonnet.pt,2,0.9,1,36.8918,18.2
5-1e-05-sonnet.pt,1,0.5,1,37.6074,17.4
5-3e-06-sonnet.pt,0.9,0.9,1,37.4963,19.8
5-3e-06-sonnet.pt,1,0.9,1,40.7058,17.7
5-3e-06-sonnet.pt,1.1,0.9,1,40.1813,17.6
5-3e-06-sonnet.pt,1.2,0.9,1,40.7041,18.4
5-3e-06-sonnet.pt,1.4,0.9,1,38.1722,17.2
5-3e-06-sonnet.pt,1.1,0.85,1,36.4359,13.1
5-3e-06-sonnet.pt,1.1,0.95,1,39.8949,17.9
5-3e-06-sonnet.pt,1.1,1,1,36.8062,13.9
5-3e-06-sonnet.pt,0.9,0.95,1,37.8569,13.2
