epoch,train_loss,dev_acc,epoch_seconds,peak_mem_bytes
0,9.214204009106096,0.20799273387829245,0.523937099998875,49955840
1,9.031106121307902,0.20799273387829245,0.5190550000006624,50057216
2,8.84839917189173,0.20799273387829245,0.5042438999989827,50057216
3,8.665585212939687,0.20799273387829245,0.5063430999980483,50057216
4,8.483141100138761,0.20799273387829245,0.5065013000021281,50057216
5,8.300271688552385,0.20799273387829245,0.5056172000004153,50057216
6,8.117295602734169,0.20799273387829245,0.5055376999989676,50057216
7,7.934820928488778,0.20799273387829245,0.5071673000020382,50057216
8,7.753026802218362,0.20799273387829245,0.5079935000030673,50057216
9,7.571381710665056,0.20799273387829245,0.5091551000004984,50057216
10,7.3896196426523755,0.20799273387829245,0.5082739999998012,50057216
11,7.207657081580787,0.20799273387829245,0.5186723000006168,50057216
12,7.025990828369441,0.20799273387829245,0.522041199998057,50057216
13,6.84480327724964,0.20799273387829245,0.5228291999992507,50057216
14,6.6640866704647905,0.20799273387829245,0.5100208000003477,50057216
15,6.48356798614902,0.20799273387829245,0.5131528999991133,50057216
16,6.303700501664301,0.20799273387829245,0.5258229000028223,50057216
17,6.124616001205944,0.20799273387829245,0.5316132000007201,50057216
18,5.946510997604341,0.20799273387829245,0.5195392000023276,50057216
19,5.769131150696608,0.20799273387829245,0.5133556000000681,50057216
20,5.593152399478334,0.20799273387829245,0.6950876999981119,50057216
21,5.418496739719244,0.20799273387829245,1.063486200000625,50057216
22,5.245637307117941,0.20799273387829245,0.5035442000007606,50057216
23,5.0749009173461115,0.20799273387829245,0.5102286000001186,50057216
24,4.907089842950807,0.20799273387829245,0.5082423999992898,50057216
25,4.742156241158868,0.20799273387829245,0.5100987999976496,50057216
26,4.5800527973791185,0.20799273387829245,0.5109722999986843,50057216
27,4.42168088508456,0.20799273387829245,0.508738299999095,50057216
28,4.26732834191358,0.20799273387829245,0.5092114999970363,50057216
29,4.117168395483539,0.20799273387829245,0.5106624000000011,50057216
30,3.9716450583175775,0.20799273387829245,0.5099580000023707,50057216
31,3.831349154648263,0.2089009990917348,0.5103439999984403,50057216
32,3.696138263753291,0.2089009990917348,0.5101567000019713,50057216
33,3.566477669256457,0.2089009990917348,0.511523599998327,50057216
34,3.4414830442224997,0.2089009990917348,0.5113822999992408,50057216
35,3.321244618419404,0.2089009990917348,0.5101971000003687,50057216
36,3.205565027864685,0.2089009990917348,0.5082575000014913,50057216
37,3.0939442592948563,0.2098092643051771,0.5118887000026007,50057216
38,2.986344050378835,0.2098092643051771,0.5112046999965969,50057216
39,2.8826295057039584,0.2089009990917348,0.5096235000019078,50057216
40,2.78273467568869,0.2089009990917348,0.5359213000010641,50057216
41,2.6861851959862513,0.20708446866485014,0.5650892000012391,50057216
42,2.5932900953605382,0.20708446866485014,0.5658096999977715,50057216
43,2.5049053935075967,0.20799273387829245,0.5652406000008341,50057216
44,2.4206008965826213,0.20799273387829245,0.627642499999638,50057216
45,2.3408699102616044,0.20799273387829245,0.528384699999151,50057216
46,2.266110041838014,0.2089009990917348,0.5793123999974341,50057216
47,2.1967091913080394,0.20799273387829245,1.1470135000017763,50057216
48,2.1322124271133864,0.20799273387829245,0.5149276999982249,50057216
49,2.0731953926077495,0.2098092643051771,0.5138863000029232,50057216
50,2.0191950580377256,0.2098092643051771,0.5164260999990802,50057216
51,1.9699315127362027,0.2061762034514078,0.5171064000023762,50057216
52,1.9248267615332586,0.2089009990917348,0.526769999996759,50057216
53,1.8834597766399384,0.2098092643051771,0.5167748999992909,50057216
54,1.845536576116576,0.2125340599455041,0.5421822000025713,50057216
55,1.810576232185078,0.22252497729336967,0.5268724999987171,50057216
56,1.77839919790793,0.22524977293369663,0.5258543999989342,50057216
57,1.7488875029685345,0.21798365122615804,0.5228645999995933,50057216
58,1.721775638141882,0.2161671207992734,0.5233074999996461,50057216
59,1.6972999132974318,0.22434150772025432,0.518591899999592,50057216
60,1.6751224140772658,0.23614895549500453,0.5166310999993584,50057216
61,1.6555201569746496,0.24159854677565848,0.519816300002276,50057216
62,1.6383979163143072,0.24613987284287012,0.514017800000147,50057216
63,1.623676439349571,0.2524977293369664,0.5169925000009243,50057216
64,1.6110114236449482,0.25158946412352406,0.5145608000020729,50057216
65,1.6003493327326543,0.2615803814713896,0.5157717999973102,50057216
66,1.5915202723906727,0.2633969118982743,0.5164713999984087,50057216
67,1.5844709010383162,0.26793823796548594,0.5183476000020164,50057216
68,1.5788854961091658,0.27338782924613986,0.5160752000010689,50057216
69,1.5744372900952115,0.27520435967302453,0.5144890000010491,50057216
70,1.57091118601824,0.27702089009990916,0.5165699999997742,50057216
71,1.5681623714916715,0.2815622161671208,0.517348999997921,50057216
72,1.5659873846095154,0.2815622161671208,0.518030599996564,50057216
73,1.564277688550592,0.28610354223433243,0.8676962999998068,50057216
74,1.5629219816865099,0.28337874659400547,0.7649581000005128,50057216
75,1.5617923436316659,0.28337874659400547,0.511831899999379,50057216
76,1.5608495426981637,0.28701180744777477,0.5051005999994231,50057216
77,1.56003195806389,0.29064486830154407,0.5096358999981021,50057216
78,1.5593089464675174,0.29427792915531337,0.5154615999999805,50057216
79,1.5586435321564978,0.3006357856494096,0.5149617999995826,50057216
